id,created_at,deleted_at,swardspeak_phrase,translated_phrase,updated_at,phrase_contribution_id
b7c1128e-3677-482d-b498-ee70c7a22828,2024-05-12 15:32:37.559258+00,,"Anakis, magayos ka ng kalachuchi dyan sa sala. Parating na ang Pudra mo","Anak, magayos ka ng kalat dyan sa sala. Parating na ang tatay mo.",2024-05-12 15:32:37.559258+00,
6834de71-a7ad-4db7-80eb-569888af16c1,2024-05-12 15:36:08.411258+00,,Ang kanyang Fezlock ay nakakashokot,Ang kanyang mukha ay nakakatakot,2024-05-12 15:36:08.411258+00,
1971ebc6-106b-4d37-9e41-7e21003f711b,2024-05-12 15:37:29.236673+00,,"Purita Kalaw aketch ngayon, iLiberty mo kaya ako?","Mahirap ako ngayon, ilibre mo kaya ako?",2024-05-12 15:37:29.236673+00,
2d729eb4-1e2c-433d-9671-58178b3cfb7b,2024-05-12 15:35:11.176989+00,2024-05-18 10:24:56.437+00,"NapakaSlovakia mo, ang dami mo kasing kaeklabuhan","Napakabagal mo kumilos, ang dami mo kasing kaartehan.",2024-05-12 15:35:11.176989+00,
44b45836-0931-4770-9d70-7ce09a062300,2024-05-12 15:40:38.771811+00,,Tegibolz ka sa Mudrabels mo!,Patay ka sa nanay mo!,2024-05-12 15:40:38.771811+00,
3e80fadf-68c9-4149-a034-e595b3922673,2024-05-12 15:42:34.602413+00,,Malu Barry kung bakit nya ako Inindiana Jones,Hindi ko alam kung bakit nya ako hindi sinipot,2024-05-12 15:42:34.602413+00,
437ed75a-7e92-4cdd-839d-a429f0ff7a13,2024-05-12 15:44:08.873636+00,,Ms Portugal ko na syang Fillet o' Fish,Matagal ko na syang natitipuhan,2024-05-12 15:44:08.873636+00,
d7ab8800-b1a3-4abc-aa5b-25bd6f82c39f,2024-05-12 15:47:25.805094+00,,"Plasticia ang Besi mo, Plangak aketch anekwaboom?","Mapagpanggap ang kaibigan mo, Tama ako ano?",2024-05-12 15:47:25.805094+00,
e82fa46f-3be7-473b-8438-f062fd7d6a74,2024-05-12 15:48:18.142922+00,,Wit makalusong sa Bahamas ang Jipamy,Hindi makalusong sa baha ang jeep,2024-05-12 15:48:18.142922+00,
113aed6c-9f9d-47aa-8850-0813b458f399,2024-05-12 15:49:49.409473+00,,Zirowena akiz maigigibsung sayong Anjo Purdoy,Wala ako maibibigay sayong pera,2024-05-12 15:49:49.409473+00,
35a0729a-1ecb-404c-a4d3-b6ac77b8ff6e,2024-05-12 15:33:49.714849+00,2024-05-18 10:25:03.126+00,Mahogany at Majingjing dito sa Skuala Lumpur,Mabaho at maingay dito sa squatter's area,2024-05-12 15:33:49.714849+00,
41bfa30f-6302-48ee-b692-8c9aa7232b01,2024-05-12 15:51:25.59482+00,,Anetch kaya ang namesung ng papable na iyon?,Ano kaya ang pangalan ng gwapong iyon?,2024-05-12 15:51:25.59482+00,
5a85a005-0f7c-44ab-af4d-6a11cfa47935,2024-05-12 15:52:21.803584+00,,"Tom Jones na aketch, gusto ko na lumafang","Gutom na ako, gusto ko na kumain",2024-05-12 15:52:21.803584+00,
004735e6-aad9-4962-9d2c-db1502cd94d9,2024-05-12 15:55:25.794386+00,,"Lumayo ka na sa Cynthia Luster na iyan, baka majombag ka","Lumayo ka na sa hindi kilalang tao na iyan, baka masuntok ka",2024-05-12 15:55:25.794386+00,
5e8b2006-5208-4e64-af48-5d1444e79cf1,2024-05-12 16:02:55.127975+00,,Anetchawang namesung mo?,Anong pangalan mo?,2024-05-12 16:02:55.127975+00,
117d8262-ffc6-4b1d-a415-2052a8ba8c8a,2024-05-16 23:01:45.488984+00,,Ang lakas ng Julanis,Ang lakas ng ulan,2024-05-16 23:01:45.488984+00,
47c953bd-ba13-40f5-a643-9d598f44924c,2024-05-18 07:10:05.118085+00,,Naging pranella na sya sa kakaisip,Naging praning na siya sa kakaisip,2024-05-18 07:10:05.118085+00,
c4531816-361e-4d22-98c8-540f959b4818,2024-05-18 07:11:33.729233+00,,Siya lamang ang nakilala kong aglipay,Siya lamang ang nakilala kong pinay na pangit,2024-05-18 07:11:33.729233+00,
de3153a9-1945-440c-9fbf-234eaf128aa3,2024-05-18 07:23:10.724227+00,,"Holabels, kamusta ka na?","Hello, kamusta ka na?",2024-05-18 07:23:10.724227+00,
98b709b8-eced-4bc8-9c5b-cf03acec139b,2024-05-18 07:36:55.564701+00,2024-05-18 10:15:51.51+00,May chiminey cricket sila,May kasambahay sila,2024-05-18 07:36:55.564701+00,
568974ff-da4e-4dd0-b6ed-e290ec4d6d4f,2024-05-18 07:36:19.670223+00,2024-05-18 10:15:53.168+00,May Alma Moreno sya,May almuranas sya,2024-05-18 07:36:19.670223+00,
50a892a6-cd09-4121-b287-3545e7bb46b7,2024-05-18 07:35:56.014421+00,2024-05-18 10:15:54.427+00,Huwag feeling badessa,Huwag feeling prinsesa,2024-05-18 07:35:56.014421+00,
32063313-d5e2-487e-a2b3-b24f375f9a26,2024-05-18 07:35:03.986117+00,2024-05-18 10:15:56.668+00,Dookit lang ang habol nyan.,"Sex lang ang habol ",2024-05-18 07:35:03.986117+00,
19b5ed90-9a6a-42a4-acc5-1fb39c10d288,2024-05-18 07:33:09.6882+00,2024-05-18 10:15:58.663+00,May nag-Careless Whisper,May umutot,2024-05-18 07:33:09.6882+00,
12bbfd6b-fed3-47e8-8c49-27e31c0db211,2024-05-18 07:32:36.835429+00,2024-05-18 10:16:00.374+00,"Kalimitan sa mga Wakalipektus, magaganda ang sulat","Kalimitan sa mga kaliwete, magaganda ang sulat",2024-05-18 07:32:36.835429+00,
cb6b6846-7bfd-4744-aecf-c2244ee4eb79,2024-05-18 07:31:39.608188+00,2024-05-18 10:16:02.327+00,Fillet o’ Fish ko sya,Natitipuhan ko sya,2024-05-18 07:31:39.608188+00,
a7caa7d3-fa82-4e98-a87c-de5c02d42b8f,2024-05-18 07:32:11.300748+00,2024-05-18 10:16:03.756+00,Napakabigat ng bag,Napakabigat ng bag,2024-05-18 07:32:11.300748+00,
60f605b1-ca7b-4b3a-8834-4e804478ef73,2024-05-18 07:30:49.108353+00,2024-05-18 10:16:05.628+00,May emingarde sila,May guard sila,2024-05-18 07:30:49.108353+00,
6499301c-9c3c-4ef7-96b6-0c032d5bf628,2024-05-18 07:30:28.269027+00,2024-05-18 10:16:06.914+00,Nakabingwit ng AFAM,Nakabingwit ng foreigner,2024-05-18 07:30:28.269027+00,
90bf92d3-6266-4b3b-a830-0f56f90a986d,2024-05-18 07:29:59.160225+00,2024-05-18 10:16:08.3+00,Na-boogie wonderland sya,Nabugbog sya,2024-05-18 07:29:59.160225+00,
124f9157-6df4-434c-861c-6446b04400b1,2024-05-18 07:29:26.147164+00,2024-05-18 10:16:09.447+00,Nakasakay na 'ko sa jipamy,Nakasakay na 'ko sa jeep,2024-05-18 07:29:26.147164+00,
55aa9401-f1da-47ce-b393-f2466a279df6,2024-05-18 07:29:14.437641+00,2024-05-18 10:16:11.019+00,Nakasakay na 'ko sa buselya,Nakasakay na 'ko sa bus,2024-05-18 07:29:14.437641+00,
7a5ce516-82cb-47c7-a445-203a1eec3452,2024-05-18 07:28:44.642591+00,2024-05-18 10:16:12.999+00,Bahamas na sa amin,Baha na sa amin,2024-05-18 07:28:44.642591+00,
0a35151d-4f53-4322-968d-e36a9afc5923,2024-05-18 07:27:22.306896+00,2024-05-18 10:16:14.929+00,"Nandito ako sa gilid, Gellie De Belen","Nandito ako sa gilid, nagseselos",2024-05-18 07:27:22.306896+00,
79a9103a-f47f-4210-b04c-3dbdb32f57d4,2024-05-18 07:27:01.26255+00,2024-05-18 10:16:20.228+00,"Ang baba ni ate mo girl, very havana","Ang baba ni ate, ang haba",2024-05-18 07:27:01.26255+00,
7f442f99-4fa9-4fe4-8678-75151b82e1e4,2024-05-18 07:26:40.826117+00,2024-05-18 10:16:23.476+00,Performance artist sa pagpili,Maarte sa pagpili,2024-05-18 07:26:40.826117+00,
6413eb56-e555-4bf5-a91b-bd1dc56adaef,2024-05-18 07:26:12.357954+00,2024-05-18 10:16:26.155+00,Nagkasakit ng Anita Linda,Nagkasakit ng A.I.DS,2024-05-18 07:26:12.357954+00,
71c6ecad-7487-43cc-a394-315e1f01f162,2024-05-18 07:23:35.377691+00,2024-05-18 10:16:28.56+00,Liberty ko,Libre ko,2024-05-18 07:23:35.377691+00,
087fc68c-23d1-40bd-a0dd-8eae3d8525b0,2024-05-18 07:24:00.467761+00,2024-05-18 10:16:29.733+00,Maraming borta sa gym,Maraming maskulado sa gym,2024-05-18 07:24:00.467761+00,
48311845-b9b3-473d-be98-81c7ffed4fa6,2024-05-18 07:25:02.047082+00,2024-05-18 10:16:30.785+00,Alam ba ng Joanna Paras mo na nandito ka?,Alam ba ng asawa mo na nandito ka?,2024-05-18 07:25:02.047082+00,
71c73004-c74a-40f6-aadd-8cf6d833c92e,2024-05-18 07:25:22.738848+00,2024-05-18 10:16:31.932+00,Uminom ka na ng Ate Vangie,Uminom ka na ng gamot pampatulog,2024-05-18 07:25:22.738848+00,
053f050c-0238-411d-8bc8-2cff158d2541,2024-05-18 07:22:50.7674+00,2024-05-18 10:16:36.1+00,Napaka-Ate Chona ni ate,Napaka-attitude ni ate,2024-05-18 07:22:50.7674+00,
ef928849-e309-4def-9700-2e9171758f92,2024-05-18 07:22:01.748618+00,2024-05-18 10:16:43.239+00,Kamustasa na kayo,Kamusta na kayo,2024-05-18 07:22:01.748618+00,
82136eba-6f65-4a73-bb51-458ec90b1e5e,2024-05-18 07:13:28.06677+00,2024-05-18 10:16:51.004+00,"Napakagandang bata, naging Jokjok Balante lang","Napakagandang bata, naging pokpok lang",2024-05-18 07:13:28.06677+00,
9fc1aacf-b9de-40ae-8f09-140881b5c2c0,2024-05-18 07:12:47.230542+00,2024-05-18 10:16:59.341+00,"Kalalaking tao shokot ka ","Kalalaking tao takot ka ",2024-05-18 07:12:47.230542+00,
a589f344-33ef-4f61-899d-1a27882e374f,2024-05-18 07:12:27.822434+00,2024-05-18 10:17:02.156+00,Pa-get luck ako ng bag,Pakuha ako ng bag,2024-05-18 07:12:27.822434+00,
8d065522-450e-41f1-b5fd-3fd0007cd5b9,2024-05-18 07:12:02.761978+00,2024-05-18 10:17:12.53+00,Inisang shugug nya ang alak,Inisang inom nya ang alak,2024-05-18 07:12:02.761978+00,
270481d2-63be-4d82-afde-03aeb05fbd87,2024-05-18 07:11:13.369899+00,2024-05-18 10:17:21.844+00,Shenglot nang umuwi,Lasing nang umuwi,2024-05-18 07:11:13.369899+00,
8b31d7a4-5b47-470e-8d9f-9e5002ab4c5e,2024-05-18 07:10:51.421883+00,2024-05-18 10:17:28.418+00,Ang daming kalachuchi,Ang daming kalat,2024-05-18 07:10:51.421883+00,
3bc83d60-3375-4932-99e9-33b608c57a9c,2024-05-18 07:09:49.585047+00,2024-05-18 10:17:37.906+00,"After ng bakasyon, naging Miss Nigeria na kulay ko.","After ng bakasyon, naging negra na kulay ko.",2024-05-18 07:09:49.585047+00,
b9e424c6-4a35-4b6d-a8a1-fe62c3ca37aa,2024-05-12 16:05:31.749241+00,2024-05-18 10:22:47.119+00,Juminglebelz ang batuta sa pader,Umihi ang bata sa pader,2024-05-12 16:05:31.749241+00,
d55b1aff-9c6b-442a-a978-47ff5833a69f,2024-05-12 16:02:12.866607+00,2024-05-18 10:22:58.538+00,Anaconda kang nyoyop ka! Cheverlu ka sa harapan ko,Traydor kang hayop ka! Umalis ka sa harapan ko,2024-05-12 16:02:12.866607+00,
12005141-f891-4586-bed5-bf2cb61b64ad,2024-05-12 16:00:54.626563+00,2024-05-18 10:23:05.427+00,Pagkatapos nya maglangoy ay Miss Nigeria na sya,Pagkatapos nya maglangoy ay negra na sya,2024-05-12 16:00:54.626563+00,
a6fe3378-a4db-455b-a40f-bc9c5d95c56f,2024-05-12 15:58:19.057645+00,2024-05-18 10:23:18.568+00,"Oprah Winfrey, wiz na aketch magmomorayta","Pangako, hindi na ako magmumura",2024-05-12 15:58:19.057645+00,
0a968dde-8e28-46dd-95b7-82dd2b05d07a,2024-05-12 15:57:03.119145+00,2024-05-18 10:23:38.93+00,"Quality Control ka naman, Pranella ka lang!","Maganda ka naman, praning ka lang!",2024-05-12 15:57:03.119145+00,
23196231-4ee8-4698-b32a-b7ddaf5b24be,2024-05-12 15:53:20.244381+00,2024-05-18 10:23:55.544+00,Nag-crayola si Shokla nung naJulie Yap syang nagloloko,Umiyak si bakla nung nahuli syang nagloloko,2024-05-12 15:53:20.244381+00,
5aa1bd57-8939-423f-8cc1-aaaf73604587,2024-05-12 15:39:08.338322+00,2024-05-18 10:24:12.484+00,"Alicia Mayer na tayo, andyan na ang Drivam ng ating booking","Aalis na tayo, andyan na ang driver ng ating service",2024-05-12 15:39:08.338322+00,
