id,created_at,swardspeak_words,translated_words,updated_at,deleted_at,word_contribution_id,definition,examples,part_of_speech
8e640139-ce20-46fb-9487-af9981062370,2024-03-25 03:59:40.646458+00,"[""Havey""]","[""Pwede  Na""]",2024-03-25 03:59:40.646458+00,,,"Tumutukoy sa kaligayahan, kagalakan, o tuwa na nadarama ng isang tao sa isang partikular na sandali o pangyayari.","[""\""Havey ang joke na binitawan ni Lloyd.\""""]",noun
86914248-84a5-4e39-8ef1-5c8e87fe5fb3,2024-03-25 04:06:07.371331+00,"[""Ismelanie Marques""]","[""Amoy""]",2024-03-25 04:06:07.371331+00,,,Nagpapahiwatig ng hindi pagdating o hindi pagdalo ng isang tao sa isang naunang napagkasunduang lugar o okasyon. Ito ay madalas na nagdudulot ng panghihinayang o pagkadismaya sa mga nag-aabang.,"[""\""Pa-Ismelanie Marques nga ng pabango mo.\""""]",verb
ed8e7cea-a067-47ea-bf9f-e63ad06d3894,2024-03-25 04:22:03.867339+00,"[""Kuda""]","[""Magaling Magsalita""]",2024-03-25 04:22:03.867339+00,,,,[],
03313922-c3d5-4861-a74d-f26fcf7f5d05,2024-03-25 04:22:53.219746+00,"[""Kyogo""]","[""Bago""]",2024-03-25 04:22:53.219746+00,,,,[],
ee9f8864-cb68-4978-bf72-c59d62567ba7,2024-03-25 04:23:21.866637+00,"[""Lafang"",""Chibog""]","[""Kain""]",2024-03-25 04:23:21.866637+00,,,,[],
55599643-4252-4df3-b577-140911331d7a,2024-03-25 04:21:43.859397+00,"[""Keri"",""Keribels""]","[""Kaya""]",2024-03-25 04:21:43.859397+00,,,,[],
5c8c1063-8606-4c80-87dc-44365eacd2e1,2024-03-25 04:18:26.360289+00,"[""Jutaw"",""Ferson""]","["" Tao""]",2024-03-25 04:18:26.360289+00,,,,[],noun
60a69c95-2167-4fec-b7d2-3e35dc93a193,2024-03-25 03:34:04.70771+00,"[""Aketch"",""Akiz"",""Akizkiz"",""Akis""]","[""Ako""]",2024-03-25 03:34:04.70771+00,,," Isang panghalip panao na tumutukoy sa nagsasalita o sa kanyang sarili.","[""\""Aketch ang nagluto ng adobo na kinain natin kanina.\""""]",pronoun
cde5e624-32d2-461e-b708-bf649c0b380b,2024-03-25 03:36:36.639661+00,"[""Jinit""]","[""Init""]",2024-03-25 03:36:36.639661+00,,,,[],adjective
322b2cae-e5c6-4031-ab7d-8040a5bd33f2,2024-03-25 04:13:47.201438+00,"[""Jopatid"",""Syopatetels"",""Syopatembang"",""Shupatid""]","[""Kapatid""]",2024-03-25 04:13:47.201438+00,,,,[],noun
b0474e88-981e-46f1-9c56-60fe5b1abe5c,2024-03-25 04:06:27.810679+00,"[""Itetch"",""Itey"",""Itech""]","[""Ito""]",2024-03-25 04:06:27.810679+00,,,,[],pronoun
8ff3bd5e-798e-4991-9988-e34dc28faffa,2024-03-25 04:06:41.679422+00,"[""Janeth Napoles""]","[""Dumukot""]",2024-03-25 04:06:41.679422+00,,,,[],verb
7f6932d5-f016-4a7a-a7e1-aaf47e3aeded,2024-03-25 04:07:54.291523+00,"[""Jinglebelz"",""Jinglelarya"",""Jumingle""]","[""Umihi""]",2024-03-25 04:07:54.291523+00,,,,[],verb
a133d6e1-5c85-4f4e-a925-1d21cdd3f90d,2024-03-25 04:08:20.961874+00,"[""Jinojomit""]","[""Ginagamit""]",2024-03-25 04:08:20.961874+00,,,,[],verb
4a41eea8-d04f-4cdb-8364-7cfdccb73cf0,2024-03-25 04:09:57.956021+00,"[""Jontis"",""Preggie"",""Syontesils""]","[""Buntis""]",2024-03-25 04:09:57.956021+00,,,,[],adjective
016d4e92-6ffc-49f9-8ba1-10c392f85bb4,2024-03-25 04:14:52.709236+00,"[""Jotabelz"",""Batuta"",""Buko"",""Bagets"",""Kyota"",""Bataan""]","[""Bata""]",2024-03-25 04:14:52.709236+00,,,,[],noun
c34f3509-64e0-458a-ad83-90533280a405,2024-03-25 04:16:41.273347+00,"[""Julalay"",""Chimay"",""Alipores""]","[""Alalay""]",2024-03-25 04:16:41.273347+00,,,,[],noun
319d509e-eb9f-44e2-b034-ce392ed909ad,2024-03-25 04:15:22.662948+00,"[""Joyong""]","[""Payong""]",2024-03-25 04:15:22.662948+00,,,,[],noun
8b4b6ffb-6fc7-4606-840b-b42ce88adc75,2024-03-25 04:17:16.154196+00,"[""Jumbag""]","[""Suntukin""]",2024-03-25 04:17:16.154196+00,,,,[],verb
f38e3478-db81-4685-b7b7-c8eb8ecc739b,2024-03-25 06:54:13.493196+00,"[""Cynthia Luster""]","[""Hindi kilalang Tao""]",2024-03-25 06:54:13.493196+00,,,"Isang indibidwal na hindi pa nabibigyan ng pagkakakilanlan o hindi pa kilala ng karamihan. Ito ay maaaring isang bagong kakilala, isang estranghero, o isang hindi pamilyar na tao.","[""\""Cynthia Luster iyang kasama mo?\""""]",pronoun
dcfee016-f5f6-4c0a-8e64-af96649189c3,2024-03-25 06:40:08.612649+00,"[""Jubis"",""Juba"",""Chabelita""]","[""Mataba""]",2024-03-25 06:40:08.612649+00,,,,[],
ae6d46dc-d80b-4df2-98a3-2037c522f423,2024-03-25 04:27:16.849169+00,"[""Magna cum laude"",""Matudnila"",""Dorobo""]","[""Magnanakaw""]",2024-03-25 04:27:16.849169+00,,,,[],
45021af9-8f46-4cfe-9053-f39083630b30,2024-03-25 04:27:31.45189+00,"[""Majingjing""]","[""Maingay""]",2024-03-25 04:27:31.45189+00,,,,[],
946ff2d3-7a6c-4d3e-b9ab-01ee39dbaba8,2024-03-25 04:28:44.176712+00,"[""Majoho"",""Makyoko"",""Mahogany""]","[""Mabaho""]",2024-03-25 04:28:44.176712+00,,,,[],
3fd71074-d078-42b6-9789-c98fc1ca4f02,2024-03-25 04:30:28.337281+00,"[""Majopit""]","[""Maggupit""]",2024-03-25 04:30:28.337281+00,,,,[],
3b4fc0f8-0507-41d0-af31-03cb317cd2c4,2024-03-25 04:31:15.888792+00,"[""Malunggay""]","[""Taong may gusto sa babae at lalake""]",2024-03-25 04:31:15.888792+00,,,,[],
3e0e53a5-0e8c-4aff-bb85-27b92cf610a1,2024-03-25 06:48:11.755545+00,"[""Kaplang""]","[""Mali""]",2024-03-25 06:48:11.755545+00,,,,[],
5aae9356-cd0d-47af-8ee3-2cd7adb60588,2024-03-25 03:39:15.255522+00,"[""Babush"",""Baboo"",""Baboosh""]","[""Paalam""]",2024-03-25 03:39:15.255522+00,,,Isang salita na ginagamit upang magpaalam o magbigay ng hudyat ng pag-alis,"[""\""Bago umalis papuntang ibang bansa, nagbabush si Ana sa kanyang mga kaibigan at pamilya.\""""]",noun
ab9a22b5-9166-437e-8ddb-35a68f03f512,2024-03-25 04:39:03.298145+00,"[""Namesung""]","[""Pangalan""]",2024-03-25 04:39:03.298145+00,,,,[],
2e8d3b3b-f80d-4157-a996-1b81adc08055,2024-03-25 04:39:26.229403+00,"[""Nyoyop""]","[""Hayop""]",2024-03-25 04:39:26.229403+00,,,,[],
3fd3c37d-a703-4a98-9272-c4a020d1281e,2024-03-25 04:40:01.240407+00,"[""Okray"",""Inilaska""]","[""Lokohin"",""Asarin""]",2024-03-25 04:40:01.240407+00,,,,[],
2aed516c-5a72-48e7-9b62-b25116cbbb14,2024-03-25 04:40:43.621174+00,"[""Pagoda""]","[""Pagod""]",2024-03-25 04:40:43.621174+00,,,,[],
c7ea04f1-71ce-4548-a7bd-bb690b6d99f6,2024-03-25 04:43:45.494476+00,"[""Perla"",""Masyoti""]","[""Maputing Balat""]",2024-03-25 04:43:45.494476+00,,,,[],
a49a0918-04b9-4d2f-8559-416baabd52d1,2024-03-25 04:54:15.052095+00,"[""Rusty Lopez""]","[""Nagmamadali""]",2024-03-25 04:54:15.052095+00,,,,[],
c4ecec14-db1c-4134-91e4-8bea57b30ab0,2024-03-25 04:56:20.972048+00,"[""Sinetch"",""Sinetchelz"",""Cynthia""]","[""Sino""]",2024-03-25 04:56:20.972048+00,,,,[],
cdae7c28-93d8-4855-abc6-7c61bfeb2918,2024-03-25 05:46:57.026074+00,"[""Splok""]","[""Magsalita""]",2024-03-25 05:46:57.026074+00,,,,[],
9c4751df-41cc-41cc-9493-b03bb426a40f,2024-03-25 05:48:30.539481+00,"[""Syoboyo""]","[""Kabayo""]",2024-03-25 05:48:30.539481+00,,,,[],
5bd1c036-903b-45e5-9a2e-8f975dbf00a1,2024-03-25 04:45:50.022961+00,"[""Plangak"",""Amats"",""Korique"",""Tomo"",""Trulagen""]","[""Tama""]",2024-03-25 04:45:50.022961+00,,,,[],
7e3bb00e-b77b-44ba-87dd-ab24eeda0136,2024-03-25 07:04:06.185637+00,"[""Fatale""]","[""Sobra""]",2024-03-25 07:04:06.185637+00,,,"Nangangahulugang higit sa inaasahan o kailangan. Ito ay maaaring gamitin upang ilarawan ang sobrang dami, sobrang lakas, o sobrang layo ng isang bagay.","[""\""May fatale pang pagkain sa hapag kainan kaya't pwede pa nating ipamigay sa mga bisita.\""""]",adverb
77bd320c-35a2-4c16-bfad-c0056f05e9df,2024-03-25 06:47:11.848283+00,"[""Fayatollah Kumenis""]","[""Payat""]",2024-03-25 06:47:11.848283+00,,,"Tumutukoy sa isang tao na may kaunting timbang o hindi gaanong mataba. Ito ay kabaligtaran ng ""mataba.""","[""\""Si Maria ay fayatollah kumenis na babae subalit malakas at aktibo sa mga gawain sa paaralan.\""""]",adjective
d13d02d5-a09e-4c78-a26c-aa787ed985d6,2024-03-25 06:50:13.431385+00,"[""Regal Drama Hour"",""Maalaala mo Kaya""]","[""Nakakaiyak na kwento""]",2024-03-25 06:50:13.431385+00,,,,[],
56e07ad2-10c6-4e36-956d-7206107ca408,2024-03-25 06:51:14.34155+00,"[""Rica Peralejo""]","[""Mayaman""]",2024-03-25 06:51:14.34155+00,,,,[],
6e419493-36a9-4a4a-9782-2e11d4ae8679,2024-03-25 06:53:34.997143+00,"[""Klassmarurut""]","[""Classmate""]",2024-03-25 06:53:34.997143+00,,,,[],
65fbfc9c-4c6e-4cb5-a88b-5a7652c07eea,2024-03-25 06:57:25.705484+00,"[""Karir""]","[""Sineryoso ang isang bagay""]",2024-03-25 06:57:25.705484+00,,,,[],
bacc63b7-ccf5-4c87-8e94-3d9d39b2b556,2024-03-25 06:46:02.051491+00,"[""Morayta"",""Murriah Carey""]","[""Mura""]",2024-03-25 06:46:02.051491+00,,,,[],
b4d8c7d6-c39a-4818-bebb-ea4d7db852be,2024-03-25 04:38:47.405519+00,"[""Naawardan""]","[""Namura"",""Napagalitan""]",2024-03-25 04:38:47.405519+00,,,,[],
58a2080f-b22d-4a3b-ac08-40a94a898c98,2024-03-25 06:50:48.31136+00,"[""Purita Kalaw""]","[""Mahirap"",""Walang pera""]",2024-03-25 06:50:48.31136+00,,,,[],
035f68e4-f3b3-4afa-baf9-46d51dc427c1,2024-03-25 06:28:35.516577+00,"[""Tegibolz"",""Tsugi"",""Todas"",""Dedo"",""Tegi""]","[""Patay""]",2024-03-25 06:28:35.516577+00,,,,[],
9432d496-3b02-4d8d-95bd-64d27c6a40de,2024-03-25 04:55:59.516773+00,"[""Shala"",""Churchchill"",""Taray""]","[""Sosyal""]",2024-03-25 04:55:59.516773+00,,,,[],
2871317e-9a8d-4f7e-99c3-5a149ad15d47,2024-03-25 06:58:12.168402+00,"[""Statue of Liberty""]","[""Libre""]",2024-03-25 06:58:12.168402+00,2024-05-11 14:42:28.016+00,,,[],
445f9b46-ec75-4659-9ed7-c479b8f76ae3,2024-03-25 04:34:47.039269+00,"[""Manoy"",""Datung"",""Anjo Purdoy"",""That's Entertainment"",""Anda""]","[""Pera""]",2024-03-25 04:34:47.039269+00,,,,[],
51b64e5d-e3ff-4273-b9a5-23cbd70112cc,2024-03-25 06:57:43.918474+00,"[""Lapel""]","[""Malakas ang Boses""]",2024-03-25 06:57:43.918474+00,,,,[],
ff4d86dd-9d1d-4000-9b27-4386f367ff00,2024-03-25 05:46:36.030207+00,"[""Skulembang""]","[""Paaralan""]",2024-03-25 05:46:36.030207+00,,,,[],
251ed21f-d66c-4232-932c-a04fe869debc,2024-03-25 04:46:51.570679+00,"[""Plasticia"",""Moja"",""Orokan""]","[""Mapagpanggap""]",2024-03-25 04:46:51.570679+00,,,,[],
c30d3ae4-1429-453e-8ea1-f39f9940fa27,2024-03-25 04:51:38.598058+00,"[""Repapipz"",""Dabarkadz""]","[""Kaibigan""]",2024-03-25 04:51:38.598058+00,,,,[],
4eab8c2e-ccdf-43ed-b090-0d9bb1877326,2024-03-25 04:53:30.584112+00,"[""Yumoyolanda""]","[""Umuulan""]",2024-03-25 04:53:30.584112+00,,,,[],
31dc358e-ace4-4759-a7d3-04bad027d536,2024-03-25 05:49:06.763274+00,"[""Taruz"",""Taroosh""]","[""Taray""]",2024-03-25 05:49:06.763274+00,,,,[],
39ddad9e-97f0-4a35-95e1-a6d077614bb4,2024-03-25 04:49:18.886498+00,"[""Pudang"",""Padir"",""Pudrabels"",""Pudra""]","[""Tatay"",""Itay""]",2024-03-25 04:49:18.886498+00,,,,[],
0ba12043-c960-4bf6-9243-9fbc128db916,2024-03-25 04:42:34.332853+00,"[""Wafu"",""Papable"",""Viola"",""B.Y.""]","[""Gwapo""]",2024-03-25 04:42:34.332853+00,,,,[],
dff4e200-e541-46e8-b5c6-448a395243d7,2024-03-25 06:29:30.825301+00,"[""Tom Jones"",""Jutomis"",""Tomtoms"",""Krang-krang""]","[""Gutom""]",2024-03-25 06:29:30.825301+00,,,,[],
7a98c8f0-c4bb-4cf2-b6ff-e7979b7a07d8,2024-03-25 04:41:29.723094+00,"[""Paminta"",""Pamin""]","[""Hindi pa lantad na bading""]",2024-03-25 04:41:29.723094+00,,,,[],
964dfcb8-91ac-400b-a505-cea2c395bc28,2024-03-25 06:58:28.680079+00,"[""Okray""]","["" Paninirang Puri""]",2024-03-25 06:58:28.680079+00,2024-05-18 08:53:09.565+00,,,[],
e7ca86ec-a0f2-4b42-8400-052df18ad039,2024-03-25 06:31:15.891733+00,"[""Waley"",""Zirowena""]","[""Wala""]",2024-03-25 06:31:15.891733+00,,,,[],
01536fb2-a002-4f7a-89cf-f6556571f688,2024-03-25 07:05:09.612148+00,"[""Kuya Germs""]","[""Marumi""]",2024-03-25 07:05:09.612148+00,,,,[],
18702a4e-a4fe-4bc8-a625-70d3a5049191,2024-03-25 04:22:33.465982+00,"[""Kukuro"",""Krung-krung"",""Lucresia Kasilag"",""Lucresia"",""Lukaret""]","[""Baliw""]",2024-03-25 04:22:33.465982+00,,,,[],
31aa17ae-96a9-4fb2-a065-cbc26196bb11,2024-03-25 07:08:30.25753+00,"[""Lupita Kashiwahara""]","[""Malupit""]",2024-03-25 07:08:30.25753+00,,,,[],
305afba5-85ed-4fa8-bb9e-b5ded8775ced,2024-03-25 07:11:57.129939+00,"[""Rita Gomez""]","[""Nakakairita""]",2024-03-25 07:11:57.129939+00,,,,[],
d2b4e2c5-885c-4d22-80e2-06ff98b00e6a,2024-03-25 07:15:38.081447+00,"[""Pilita Corrales""]","[""Pilit nang Pilit""]",2024-03-25 07:15:38.081447+00,,,,[],
ad0151c8-9456-4c82-83da-72d3d68a0e83,2024-03-25 07:18:24.596215+00,"[""Katrina Kahalili""]","[""Kabet""]",2024-03-25 07:18:24.596215+00,,,,[],
759f2101-1b98-449b-920c-8a0732175c51,2024-03-25 07:18:50.870769+00,"[""Oprah Winfrey""]","[""Pangako""]",2024-03-25 07:18:50.870769+00,,,,[],
52387122-7655-4627-836f-4ddee857ecea,2024-03-25 07:19:10.619187+00,"[""Malu Barry""]","[""Hindi ko Alam""]",2024-03-25 07:19:10.619187+00,,,,[],
e7948194-e02f-42cf-9a39-b58fd3d9e69e,2024-03-25 07:06:41.870101+00,"[""Freestyle""]","[""Mabagal Makaintindi""]",2024-03-25 07:06:41.870101+00,,,Mangangahulugang may kahirapan o kakulangan sa pag-unawa ng isang tao sa mga bagay-bagay o konsepto. Ito ay nagpapahiwatig ng pagiging mabagal sa pagproseso ng impormasyon.,"[""\""Si anthe napaka-freestyle sa klase.\""""]",adjective
92959844-5595-4292-b37a-c9006f462aea,2024-03-24 15:06:10.927048+00,"[""Charot"",""Char"",""Echos"",""Charing"",""Eme"",""Eklabu"",""Chariz""]","[""Biro""]",2024-03-24 15:06:10.927048+00,,,"Tumutukoy sa isang salita o kilos na nagpapatawa o nagbibigay-aliw, kadalasan ay hindi siniseryoso.","[""\""Alam mo, crush kita. Charot!\""""]",noun
665035e5-a4c7-4ab5-a9c2-a3b31f35032f,2024-03-25 07:15:04.289444+00,"[""Samantha Lopez""]","[""Oportunista""]",2024-03-25 07:15:04.289444+00,,,,[],
ade6ab70-c222-48ef-9153-348d95a43cd1,2024-03-25 07:13:16.957164+00,"[""Susie""]","[""Babaeng Malaki ang Hinaharap""]",2024-03-25 07:13:16.957164+00,,,,[],
64b6d375-56e1-4a76-8ab3-97c139134d87,2024-03-25 07:16:30.068363+00,"[""Mahalia Mendez"",""Johalia Jackson""]","[""Mahal""]",2024-03-25 07:16:30.068363+00,,,,[],
9cc104a7-9db4-4640-8d20-97e58575a9e9,2024-03-25 07:14:44.870878+00,"[""Yayo Aguila""]","[""Mahiyain""]",2024-03-25 07:14:44.870878+00,,,,[],
bf8874eb-9413-4892-bb99-a6de1a710f66,2024-03-26 05:57:52.889446+00,"[""Borlog""]","[""Tulog""]",2024-03-26 05:57:52.889446+00,,,Pagkakaroon ng pahinga sa pamamagitan ng pagtulog.,"[""Nagpunta siya sa kanyang kwarto upang mborlog pagkatapos ng isang mahabang araw sa trabaho""]",verb
5cb78b1a-95e7-4800-8234-ba3dff890f7f,2024-03-25 07:14:20.856458+00,"[""Winnie Santos""]","[""Panalo""]",2024-03-25 07:14:20.856458+00,,,,[],
db12fdb4-9cad-41e6-8deb-3c21d9e144c8,2024-03-25 07:24:17.115138+00,"[""Ate Shawie"",""Oishi""]","[""Shabu""]",2024-03-25 07:24:17.115138+00,,," Isang kolokyal na tawag sa drogang methamphetamine hydrochloride, isang uri ng ilegal na droga.",[],
d93836b5-9223-43a9-994b-e1c6a019ccf3,2024-03-26 07:56:25.381336+00,"[""Careless Whisper""]","[""Utot""]",2024-03-26 07:56:25.381336+00,,,"Hanging lumalabas o sumisingaw mula sa butas ng puwit ng tao o hayop.
","[""Kung sino man ang nag-Careless Whisper, jumebs ka na.""]",noun
22d61eda-e4c3-408d-8f84-3068e42a7cb3,2024-03-26 05:45:56.893808+00,"[""Sushmita""]","[""Sapatos""]",2024-03-26 05:45:56.893808+00,,,Isang uri ng pares na kasuotan na inilalagay sa paa para sa proteksyon at kaginhawaan habang naglalakad o gumagalaw.,"[""Mahalaga ang pagpili ng tamang sukat ng sushmita upang maiwasan ang mga karamdaman sa paa.""]",noun
8ac18e9b-87c4-4c7f-9628-a99e2757a421,2024-03-26 07:34:42.261286+00,"[""Lilet""]","[""Batang beki""]",2024-03-26 07:34:42.261286+00,,,Isang taong bata pa lamang ay bakla na sya,"[""Ang daming lilet doon sa may kanto.""]",noun
4f9b31c9-f790-4b71-9f43-0ac101c4666a,2024-03-26 06:08:22.941105+00,"[""Dedma""]","[""Huwag pansinin"",""Isnab""]",2024-03-26 06:08:22.941105+00,,,"Walang pakialam; patay-malisya
","[""Dedma lang sa mga bashers.""]",verb
914a5cdb-2852-4de0-b7d1-ecb99811c14b,2024-03-26 06:05:15.558568+00,"[""Alma Moreno""]","[""Almuranas""]",2024-03-26 06:05:15.558568+00,,,"Kayariang baskular sa kanal na pambutas ng puwit na tumutulong sa pagtaban ng dumi ng tao.
","[""Puro maaanghang kasi kinain nya, ayan may Alma Moreno tuloy.""]",noun
cb03cfa8-6f83-4d86-9693-70006fd41d52,2024-03-26 06:02:31.153107+00,"[""Chiminey Cricket""]","[""Kasambahay""]",2024-03-26 06:02:31.153107+00,,,"Kasama sa bahay na tumutulong sa gawaing bahay
","[""Pianghainan kami ng Chiminey Cricket ng kaibigan ko.""]",noun
f99795f3-43e8-47fb-af5b-77ce53185c44,2024-03-26 05:58:29.376875+00,"[""Sandara Park"",""Jinet Jackson"",""Jinit"",""Majinit""]","[""Maaraw"",""Mainit""]",2024-03-26 05:58:29.376875+00,,,Nangangahulugang mayroong sinag ng araw o mainit na panahon,"[""Sa darating na linggo, inaasahan nating magiging Jinet Jackson ang panahon.""]",adjective
8470c0c7-cce6-4f01-a9b1-310f0cc6966a,2024-03-26 05:55:40.187809+00,"[""Otoko""]","[""Lalaki""]",2024-03-26 05:55:40.187809+00,,,"Isang indibidwal na kasapi ng kasarian na may mga katangiang pangkalalakihan. Ito ay katambal ng salitang ""babae.""","[""Ang otoko na ito ay kilala bilang isang mabait at matapat na ama.""]",noun
4531e54b-90db-4d46-ac23-e7c606b97e71,2024-03-26 05:43:37.063717+00,"[""Portuguesa"",""Shibuli""]","[""Tibo"",""Lesbian""]",2024-03-26 05:43:37.063717+00,,,Isang salitang balbal na ginagamit upang tukuyin ang isang taong bading o homoseksuwal na lalaki.,"[""Matagal nang alam ng kanyang pamilya na siya ay isang shibuli, at tanggap na tanggap nila ito.""]",noun
5de1d641-b1a0-4864-b096-790435c93441,2024-03-26 05:38:15.694775+00,"[""Slovakia""]","[""Mabagal kumilos""]",2024-03-26 05:38:15.694775+00,,,Hindi mabilis o hindi maaksyon sa paggawa ng kilos o gawain.,"[""Mahirap magtrabaho kapag ang iyong kasama ay slovakia, dahil nagiging hadlang ito sa pagtapos ng mga gawain sa oras.""]",verb
03aff3d9-6364-424f-9832-6480bd7f96c0,2024-03-26 05:27:06.741532+00,"[""Bes"",""Besi""]","[""Matalik na kaibigan"",""Kaibigan""]",2024-03-26 05:27:06.741532+00,,,Karaniwang ginagamit upang tawagin ang isang kaibigan o kapatid sa loob ng isang malambing o pamilyar na paraan. Madalas itong ginagamit ng mga kabataan at millennials sa kanilang pakikipag-usap.,"[""Tara, bes, samahan mo ako mamili sa mall mamaya.""]",noun
27b6fa4b-8f43-4ade-acb4-a23aa078c651,2024-03-25 07:26:01.621692+00,"[""Ditey""]","[""Dito""]",2024-03-25 07:26:01.621692+00,,,Karaniwang ginagamit ito sa impormal na usapan o sa mga casual na sitwasyon.,"[""Tara, ditey tayo sa tabi-tabi at magkwentuhan.""]",adverb
9e19f9e7-9558-4d33-ac91-4d3003545ab6,2024-03-25 06:46:38.393452+00,"[""Backstreet Boys""]","[""Mga Lalaki sa Likod""]",2024-03-25 06:46:38.393452+00,,,"Tumutukoy sa mga lalaki na nasa likuran, maaaring literal o figurative na lokasyon.

","[""\""Ang mga backstreet boys sa likod, ang kukulit!\""""]",noun
6791754f-89e1-401a-a306-55d030ba3420,2024-03-25 07:12:53.879855+00,"[""Erna"",""Eva Kalaw"",""Jebs""]","[""Tae""]",2024-03-25 07:12:53.879855+00,,,Nagpapahiwatig ng dumi ng tao o hayop. Ito ay ang pangkaraniwang salita na ginagamit upang tukuyin ang mga epekto ng pagtunaw ng pagkain o iba pang mga basurang organiko.,"[""\""Maingat na linisang ang mga kanilang erna pagkatapos ng mga alaga nilang hayop.\""""]",noun
6e8769ad-f7d1-43b9-945a-e22553e8e0e4,2024-03-26 09:11:24.518533+00,"[""Erna"",""Eva Kalaw""]","[""Tae""]",2024-03-26 09:11:24.518533+00,2024-05-11 05:09:11.522+00,,,[],
